,Loss,Val-Loss,Phi,Phi-Gradient
0,0.24916453659534454,0.1957290768623352,0.23042262727895363,-0.01942802904807972
1,0.18876956403255463,0.12675879895687103,0.2109945982308739,-0.017150344169835366
2,0.11846423894166946,0.07625851780176163,0.1961219389392829,-0.011540901832336373
3,0.07107251137495041,0.04835345223546028,0.18791279456620116,-0.006718565838519722
4,0.04430992528796196,0.03392681106925011,0.18268480726224345,-0.004177043967527577
5,0.03243992105126381,0.02638206258416176,0.179558706631146,-0.003247004453889618
6,0.02770971693098545,0.02248033694922924,0.17619079835446422,-0.00354892068645965
7,0.025799673050642014,0.020379148423671722,0.1724608652582267,-0.0037785331779577463
8,0.025078609585762024,0.019320230931043625,0.16863373199854872,-0.0033308943593250845
9,0.02413313463330269,0.018123582005500793,0.16579907653957654,-0.00276809213437261
10,0.02248351089656353,0.017112277448177338,0.1630975477298035,-0.0026180709916610034
11,0.020855193957686424,0.016346409916877747,0.16056293455625453,-0.002345006822091128
12,0.019568799063563347,0.015701428055763245,0.15840753408562125,-0.0019338565824366105
13,0.01844220794737339,0.015162584371864796,0.1566952213913813,-0.0016373658052447199
14,0.017611565068364143,0.014778684824705124,0.1551328024751318,-0.0015109002236066288
15,0.016818959265947342,0.014432384632527828,0.15367342094416805,-0.001357983688261788
16,0.01631823740899563,0.01413892861455679,0.15241683509860823,-0.0012213375664075765
17,0.015908801928162575,0.01372730452567339,0.1512307458113529,-0.0011022960920913927
18,0.015502712689340115,0.013282806612551212,0.15021224291442545,-0.0009737503475220899
19,0.015056843869388103,0.01286797970533371,0.14928324511630872,-0.0008655312796350123
20,0.014819799922406673,0.012521612457931042,0.14848118035515542,-0.0008171115807734247
21,0.014551877975463867,0.012253138236701488,0.14764902195476187,-0.0008143616172836682
22,0.014270207844674587,0.011990848928689957,0.1468524571205881,-0.0007049316148153156
23,0.013998492620885372,0.011778059415519238,0.14623915872513124,-0.0006658669031818498
24,0.013625333085656166,0.011548402719199657,0.1455207233142244,-0.000837085568210022
25,0.01336849108338356,0.011254912242293358,0.1445649875887112,-0.0009536277584607511
26,0.012982401065528393,0.010982335545122623,0.14361346779730289,-0.0008003131192039076
27,0.012658469378948212,0.010762937366962433,0.14296436135030338,-0.0005176966515738207
28,0.012326004914939404,0.010586952790617943,0.14257807449415524,-0.0005090737445069826
29,0.011986400000751019,0.010430124588310719,0.14194621386128942,-0.0006318606328658272
